i	x_i	y_i (Heun)	y_i (exact)	abs error
0	1.000	1.000	1.000	0.000
1	1.500	0.958	0.896	0.063
2	2.000	1.247	1.188	0.059
3	2.500	1.735	1.683	0.053
4	3.000	2.381	2.333	0.048
5	3.500	3.168	3.124	0.045
6	4.000	4.089	4.047	0.042
7	4.500	5.140	5.100	0.040
8	5.000	6.319	6.280	0.039
9	5.500	7.625	7.587	0.038
10	6.000	9.058	9.021	0.037
11	6.500	10.617	10.580	0.037
12	7.000	12.301	12.265	0.036
13	7.500	14.111	14.076	0.036
14	8.000	16.047	16.012	0.035
15	8.500	18.108	18.073	0.035
16	9.000	20.294	20.259	0.035
17	9.500	22.605	22.571	0.034
18	10.000	25.042	25.008	0.034
