k	x_k	x	||x_k-x||	lambda_k	lambda	|lambda_k-lambda|
1	[+1.000, -1.000, -8.000]	[1, 0, -1]	7.071	2.409	3	0.591
2	[+1.000, +0.125, -2.375]	[1, 0, -1]	1.381	3.458	3	0.458
3	[+1.000, -0.027, -1.676]	[1, 0, -1]	0.676	3.103	3	0.103
4	[+1.000, +0.007, -1.351]	[1, 0, -1]	0.351	3.147	3	0.147
5	[+1.000, -0.002, -1.215]	[1, 0, -1]	0.215	3.080	3	0.080
6	[+1.000, +0.001, -1.132]	[1, 0, -1]	0.132	3.060	3	0.060
7	[+1.000, -0.000, -1.085]	[1, 0, -1]	0.085	3.038	3	0.038
8	[+1.000, +0.000, -1.055]	[1, 0, -1]	0.055	3.026	3	0.026
9	[+1.000, -0.000, -1.036]	[1, 0, -1]	0.036	3.017	3	0.017
10	[+1.000, +0.000, -1.024]	[1, 0, -1]	0.024	3.012	3	0.012
