k	x_k	x	||x_k-x||	lambda_k	lambda	|lambda_k-lambda|
1	[+1.000, +0.000, +3.000]	[1, 0, -1]	4.000	2.600	3	0.400
2	[+1.000, -0.000, -9.000]	[1, 0, -1]	8.000	3.098	3	0.098
3	[+1.000, +0.000, -2.455]	[1, 0, -1]	1.455	3.207	3	0.207
4	[+1.000, +0.000, -1.653]	[1, 0, -1]	0.653	3.175	3	0.175
5	[+1.000, +0.000, -1.358]	[1, 0, -1]	0.358	3.126	3	0.126
6	[+1.000, +0.000, -1.213]	[1, 0, -1]	0.213	3.086	3	0.086
7	[+1.000, +0.000, -1.133]	[1, 0, -1]	0.133	3.058	3	0.058
8	[+1.000, +0.000, -1.085]	[1, 0, -1]	0.085	3.039	3	0.039
9	[+1.000, +0.000, -1.055]	[1, 0, -1]	0.055	3.026	3	0.026
10	[+1.000, +0.000, -1.036]	[1, 0, -1]	0.036	3.017	3	0.017
